-5.0e0 -1.4370438e-1 nan

-4.7435901e0 -1.5987108e-1 nan

-4.4871802e0 -1.7843817e-1 nan

-4.2307703e0 -1.9968399e-1 nan

-3.9743604e0 -2.2383658e-1 nan

-3.7179504e0 -2.5093878e-1 nan

-3.4615405e0 -2.8072928e-1 nan

-3.2051306e0 -3.1246138e-1 nan

-2.9487207e0 -3.4469067e-1 nan

-2.6923108e0 -3.7523698e-1 nan

-2.4359009e0 -4.01289e-1 nan

-2.179491e0 -4.2010149e-1 nan

-1.923081e0 -4.2984029e-1 nan

-1.6666711e0 -4.3030267e-1 nan

-1.4102612e0 -4.2310449e-1 nan

-1.1538513e0 -4.1114307e-1 nan

-8.974414e-1 -3.977287e-1 nan

-6.410315e-1 -3.8575679e-1 nan

-3.846216e-1 -3.7748648e-1 nan

-1.282117e-1 -3.744798e-1 nan

1.281982e-1 -3.7775499e-1 nan

3.846082e-1 -3.87944e-1 nan

6.41018e-1 -4.0546199e-1 nan

8.97428e-1 -4.3055301e-1 nan

1.1538379e0 -4.63378e-1 nan

1.4102478e0 -5.0414598e-1 nan

1.6666577e0 -5.5315e-1 nan

1.9230676e0 -6.1062599e-1 nan

2.1794775e0 -6.75413e-1 nan

2.4358875e0 -7.4138599e-1 nan

2.6922974e0 -7.9306699e-1 nan

2.9487073e0 -8.0763998e-1 nan

3.2051172e0 -7.7053699e-1 nan

3.4615271e0 -6.9061798e-1 nan

3.717937e0 -5.9240599e-1 nan

3.974347e0 -4.97106e-1 nan

4.2307568e0 -4.14778e-1 nan

4.4871667e0 -3.47424e-1 nan

4.7435767e0 -2.93457e-1 nan

4.9999866e0 -2.50367e-1 nan
